epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,520.918,0.85563,0.45749,1.0609,0.25935,0.24483,0.20204,0.07742,2.87876,2.44263,3.0499,0.0004382,0.0004382,0.0004382
84,526.946,0.85561,0.44559,1.06399,0.25071,0.23444,0.18773,0.0699,2.88426,2.59645,2.99798,0.0004283,0.0004283,0.0004283
85,533.181,0.84482,0.44604,1.05018,0.20644,0.25933,0.17914,0.07548,2.87952,2.60211,2.9818,0.0004184,0.0004184,0.0004184
86,539.311,0.79501,0.42988,1.03604,0.24333,0.18823,0.17322,0.07484,2.92536,2.66732,3.04818,0.0004085,0.0004085,0.0004085
87,545.444,0.78095,0.42507,1.01635,0.36946,0.16915,0.17724,0.06637,2.97692,2.54031,3.07563,0.0003986,0.0003986,0.0003986
88,551.702,0.78015,0.41761,1.0163,0.23541,0.23093,0.17843,0.0726,2.98149,2.58732,3.1362,0.0003887,0.0003887,0.0003887
89,557.813,0.78568,0.42376,1.0327,0.20258,0.26803,0.16944,0.0638,3.08697,2.62228,3.32575,0.0003788,0.0003788,0.0003788
90,563.965,0.77271,0.41449,1.02348,0.24521,0.22644,0.15033,0.06637,2.9855,2.5191,3.20518,0.0003689,0.0003689,0.0003689
91,570.128,0.79212,0.41841,1.01255,0.25966,0.23894,0.17731,0.07695,2.96393,2.45417,3.22786,0.000359,0.000359,0.000359
92,576.374,0.82448,0.42071,1.031,0.31026,0.2344,0.18592,0.0816,2.97039,2.42526,3.31477,0.0003491,0.0003491,0.0003491
93,582.612,0.766,0.42245,1.00831,0.33425,0.18386,0.17752,0.07971,2.906,2.59624,3.15425,0.0003392,0.0003392,0.0003392
94,588.867,0.81721,0.43297,1.03045,0.22717,0.2128,0.19417,0.08566,2.77035,2.62898,3.02005,0.0003293,0.0003293,0.0003293
95,595.27,0.78821,0.42162,1.02856,0.33819,0.2003,0.21239,0.07717,2.8338,2.59019,3.18634,0.0003194,0.0003194,0.0003194
96,601.474,0.78618,0.42282,1.03672,0.31759,0.24967,0.19538,0.08816,2.77378,2.57526,3.03317,0.0003095,0.0003095,0.0003095
97,607.733,0.78802,0.41493,1.01844,0.40812,0.17905,0.21024,0.08064,2.84807,2.60696,3.06724,0.0002996,0.0002996,0.0002996
98,613.958,0.72789,0.3894,1.00241,0.36736,0.18149,0.19843,0.08108,2.95347,2.58034,3.14652,0.0002897,0.0002897,0.0002897
99,620.204,0.74099,0.39936,0.99506,0.43905,0.15818,0.17608,0.07677,2.95987,2.53285,3.19088,0.0002798,0.0002798,0.0002798
100,626.485,0.74993,0.4052,1.00223,0.24733,0.18673,0.15714,0.07323,2.95845,2.52759,3.33748,0.0002699,0.0002699,0.0002699
101,632.691,0.75387,0.42101,1.01774,0.31221,0.22303,0.18009,0.07131,3.00539,2.67117,3.36608,0.00026,0.00026,0.00026
102,638.81,0.72969,0.40147,1.00257,0.34078,0.1958,0.1722,0.07155,2.93896,2.70631,3.26065,0.0002501,0.0002501,0.0002501
103,645.039,0.74467,0.40302,1.00827,0.29979,0.17998,0.17033,0.07462,2.9066,2.67884,3.18877,0.0002402,0.0002402,0.0002402
104,651.26,0.70791,0.39095,0.9854,0.31141,0.21456,0.18388,0.07068,2.89879,2.64557,3.18858,0.0002303,0.0002303,0.0002303
105,657.57,0.70664,0.38717,0.98509,0.35065,0.22423,0.18806,0.07649,2.89889,2.59615,3.25061,0.0002204,0.0002204,0.0002204
106,663.654,0.68678,0.37817,0.97122,0.3664,0.21086,0.18766,0.07795,2.89337,2.65084,3.25864,0.0002105,0.0002105,0.0002105
107,669.949,0.71329,0.38679,0.98227,0.27417,0.22013,0.17914,0.07412,2.8574,2.59507,3.25728,0.0002006,0.0002006,0.0002006
108,676.142,0.70547,0.38932,0.99213,0.3283,0.17029,0.17028,0.07378,2.90785,2.53791,3.31062,0.0001907,0.0001907,0.0001907
109,682.347,0.68645,0.3811,0.97826,0.34218,0.1493,0.16848,0.07065,2.98713,2.5079,3.3629,0.0001808,0.0001808,0.0001808
110,688.53,0.69059,0.38292,0.99318,0.32743,0.16915,0.17805,0.07136,2.90522,2.68956,3.1717,0.0001709,0.0001709,0.0001709
111,694.713,0.67642,0.37526,0.96895,0.26407,0.18453,0.17321,0.07275,2.89234,2.65878,3.21271,0.000161,0.000161,0.000161
112,700.911,0.70108,0.38531,0.99346,0.23399,0.21802,0.1831,0.07483,2.83699,2.597,3.17314,0.0001511,0.0001511,0.0001511
113,707.073,0.69351,0.38158,0.98386,0.24223,0.24737,0.17947,0.07416,2.89961,2.61828,3.23237,0.0001412,0.0001412,0.0001412
114,713.27,0.67576,0.38163,0.97549,0.23225,0.25423,0.17085,0.07119,2.89514,2.60202,3.21096,0.0001313,0.0001313,0.0001313
